isolate_id,column,tray,box,position,Organism,Project,Date Added,Added by,Strain,Status,Source
OAU SPEC 1,1,1,1,1,,,,,,,
OAU SPEC 2,1,1,1,2,,,,,,,
OAU SPEC 3,1,1,1,3,,,,,,,
OAU VOA-019,1,1,1,4,,,,,,,
OAU-E01-14/17,1,1,1,5,,,,,,,
OAU -E01-024,1,1,1,6,,,,,,,
OAU-AAA-087,1,1,1,7,,,,,,,
OAU-AAA-080,1,1,1,8,,,,,,,
OAU-AAA-068,1,1,1,9,,,,,,,
OAU-E01-063,1,1,1,10,,,,,,,
VC-BK5,1,1,1,11,,,,,,,
OAU-001-060,1,1,1,12,,,,,,,
VC-BK5,1,1,1,15,,,,,,,
B2,1,1,1,21,,,,,,,
OAU SPEC 3B,1,1,2,1,,,,,,,
OAU SPEC 4,1,1,2,2,,,,,,,
OAU-PO-610,1,1,2,3,,,,,,,
OAU-E01-213,1,1,2,4,,,,,,,
OAU-AAA-078,1,1,2,5,,,,,,,
OAU-AAA-090,1,1,2,6,,,,,,,
OAU-AAA-116,1,1,2,7,,,,,,,
OAU-AAA-105,1,1,2,8,,,,,,,
PO-601,1,1,2,9,,,,,,,
OAU-E01-063BB,1,1,2,10,,,,,,,
VC-4B,1,1,2,11,,,,,,,
VC-6,1,1,2,12,,,,,,,
VC-4B,1,1,2,13,,,,,,,
VC-6,1,1,2,14,,,,,,,
VC-BK4,1,1,2,15,,,,,,,
GHRU 6,1,1,2,22,,,,,,,
OAU-AAA-0499,1,1,3,1,,,,,,,
OAU-AAA-1279,1,1,3,2,,,,,,,
OAU-TOO-B019,1,1,3,3,,,,,,,
OAU-TOO-B018,1,1,3,4,,,,,,,
OAU-AAA-0599,1,1,3,5,,,,,,,
OAU-AAA-0849,1,1,3,6,,,,,,,
OAU-AAA-729,1,1,3,7,,,,,,,
OAU-KOA-014B,1,1,3,8,,,,,,,
OAU-TOO-B016,1,1,3,9,,,,,,,
UCH-PO-467A,1,1,3,10,,,,,,,
UCH-P0467B,1,1,3,11,,,,,,,
UCH-P0557B,1,1,3,12,,,,,,,
UCH-PO-409(D),1,1,3,13,,,,,,,
UCH-0663A,1,1,3,14,,,,,,,
UCH-P0523B,1,1,3,15,,,,,,,
UCH-P1734(D),1,1,3,16,,,,,,,
UCH-P0956(D),1,1,3,17,,,,,,,
UCH-P0183(D),1,1,3,18,,,,,,,
UCH-P1430,1,1,3,19,,,,,,,
UCH-P0467A,1,1,3,20,,,,,,,
UCH-P1649(D),1,1,3,21,,,,,,,
UCH-PO-467A,1,1,3,22,,,,,,,
UCH-P1655(D),1,1,3,23,,,,,,,
OAU-AAA-0869,1,1,4,1,,,,,,,
OAU-VOA-025B,1,1,4,2,,,,,,,
OAU-VOA-022A,1,1,4,3,,,,,,,
OAU-AAA-037,1,1,4,4,,,,,,,
OAU-VOA-025A,1,1,4,5,,,,,,,
OAU-VOA-022A,1,1,4,6,,,,,,,
OAU-VOA-0225,1,1,4,7,,,,,,,
OAU-VOA-022B,1,1,4,8,,,,,,,
OAU-VOA-037A,1,1,4,9,,,,,,,
UCH-P103B,1,1,4,10,,,,,,,
UCH-P0557,1,1,4,11,,,,,,,
UCH-P1655(D),1,1,4,12,,,,,,,
UCH-P1336B,1,1,4,13,,,,,,,
UCH-P0495A,1,1,4,14,,,,,,,
UCH-P0495B,1,1,4,15,,,,,,,
UCH-P1655(D),1,1,4,16,,,,,,,
UCH-P0409D,1,1,4,17,,,,,,,
UCH-P0523A,1,1,4,18,,,,,,,
UCH-P0183(D),1,1,4,19,,,,,,,
UCH-P0224(D),1,1,4,20,,,,,,,
